appid,title,genres,developers,publishers,tags,release_year,short_description
440,Team Fortress 2,"Action,Free To Play",Valve,Valve,"Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,In-App Purchases,Camera Comfort,Color Alternatives,Custom Volume Controls,Stereo Sound,Surround Sound,Partial Controller Support,Valve Anti-Cheat enabled,Stats,Includes level editor,Commentary available,Remote Play on Phone,Remote Play on Tablet",2007,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!"
500,Left 4 Dead,Action,Valve,Valve,"Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Captions available,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Stereo Sound,Surround Sound,Steam Cloud,Valve Anti-Cheat enabled,Stats,Steam Leaderboards,Includes Source SDK,Commentary available,Remote Play on TV,Family Sharing",2008,"From Valve (the creators of Counter-Strike, Half-Life and more) comes Left 4 Dead, a co-op action horror game for the PC and Xbox 360 that casts up to four players in an epic struggle for survival against swarming zombie hordes and terrifying mutant monsters."
550,Left 4 Dead 2,Action,Valve,Valve,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Stereo Sound,Surround Sound,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes Source SDK,Commentary available,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Family Sharing,Steam Timeline",2009,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns."
570,Dota 2,"Action,Strategy,Free To Play",Valve,Valve,"Multi-player,Co-op,Steam Trading Cards,Steam Workshop,SteamVR Collectibles,In-App Purchases,Camera Comfort,Color Alternatives,Custom Volume Controls,Valve Anti-Cheat enabled,Steam Timeline",2013,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own."
620,Portal 2,"Action,Adventure",Valve,Valve,"Single-player,Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Workshop,Camera Comfort,Custom Volume Controls,Playable without Timed Input,Save Anytime,Stereo Sound,Surround Sound,Steam Cloud,Stats,Includes level editor,Commentary available,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Family Sharing",2011,The &quot;Perpetual Testing Initiative&quot; has been expanded to allow you to design co-op puzzles for you and your friends!
630,Alien Swarm,"Action,Free To Play",Valve,Valve,"Single-player,Multi-player,Co-op,Steam Achievements,Captions available,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Stereo Sound,Surround Sound,Steam Cloud,Stats,Includes level editor",2010,Co-operative multiplayer game and complete code base available for free.
659,Portal 2,"Action,Adventure",Valve,Valve,"Single-player,Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Workshop,Camera Comfort,Custom Volume Controls,Playable without Timed Input,Save Anytime,Stereo Sound,Surround Sound,Steam Cloud,Stats,Includes level editor,Commentary available,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Family Sharing",2011,The &quot;Perpetual Testing Initiative&quot; has been expanded to allow you to design co-op puzzles for you and your friends!
730,Counter-Strike 2,"Action,Free To Play",Valve,Valve,"Multi-player,Cross-Platform Multiplayer,Steam Trading Cards,Steam Workshop,In-App Purchases,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Surround Sound,Valve Anti-Cheat enabled,Stats,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Steam Timeline",2012,"For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2."
1002,Rag Doll Kung Fu,Indie,Mark Healey,Mark Healey,"Single-player,Multi-player,Family Sharing",2005,A piece of Steam history - THE FIRST EVER NON VALVE GAME TO APPEAR ON THE STEAM PLATFORM!
1200,Red Orchestra: Ostfront 41-45,Action,Tripwire Interactive,Tripwire Interactive,"Multi-player,Steam Achievements,Valve Anti-Cheat enabled,Family Sharing",2006,"Fight in the theatre of war that changed the world forever. Battle alongside your compatriots on some of the most inhospitable environments of the Eastern Front in Red Orchestra: Ostfront 41-45. Red Orchestra places you in the most realistic WWII first-person multi-player combat to date on the PC, allowing the player to fight through..."
1250,Killing Floor,Action,Tripwire Interactive,Tripwire Interactive,"Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Valve Anti-Cheat enabled,Stats,Includes level editor,Family Sharing",2009,"6-player co-op survival horror at its finest! Free updates, free special events and a ridiculous amount of fun!"
4570,"Warhammer 40,000: Dawn of War - Anniversary Edition",Strategy,Relic Entertainment,SEGA,"Single-player,Multi-player,Steam Trading Cards,Steam Cloud,Family Sharing",2007,"All of Warhammer 40,000: Dawn of War in one glorious package. Play the genre-defining classic real time strategy game in all its blood-soaked glory, including four complete campaigns and nine full-fledged factions."
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",Strategy,Relic Entertainment,SEGA,"Single-player,Multi-player,Steam Cloud,Family Sharing",2007,"Deep under the central desert of Kronus, a vast honeycomb of skull-lined tunnels and funeral chambers house the awakening Necron menace. Eons ago, these were the boulevards and squares of a great necropolis built to house the bones of the races who had fallen to the Necrons, and ultimately were where the Necrons themselves retire to..."
4800,Heroes of Annihilated Empires,Strategy,GSC Game World,GSC Game World,"Single-player,Multi-player,Family Sharing",2006,"Heroes of Annihilated Empires - is a fantasy-based game from GSC Game World in the genre of RTS vs RPG for PC. 4 unique races awaits for the heroes, who want to fight in an Epic scale battles!"
4850,Cossacks: Back to War,Strategy,GSC Game World,GSC World Publishing,"Single-player,Multi-player,Family Sharing",2010,"Cossacks: Back to War contains all of the gameplay features of Cossacks: European Wars and Cossacks: The Art of War, this is a complete care package for all current and future Cossacks fans. This add-on contains two new nations: Switzerland and Hungary."
4870,Cossacks: Art of War,Strategy,GSC Game World,GSC World Publishing,"Single-player,Family Sharing",2011,Cossacks: The Art of War continues the history of the great battles of XVII–XVIII centuries
4880,Cossacks: European Wars,Strategy,GSC Game World,GSC World Publishing,"Single-player,Family Sharing",2011,This game is devoted to the key events of the XVII–XVIII centuries.
4890,Cossacks II: Battle for Europe,Strategy,GSC Game World,GSC World Publishing,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Remote Play Together,Family Sharing",2011,Cossacks II: Battle for Europe is a standalone add-on for &quot;Cossacks II: Napoleonic Wars&quot; presenting new nations with the possibility to wage multiplayer battles.
4900,Zen of Sudoku,"Casual,Indie",Unknown Worlds Entertainment,Unknown Worlds Entertainment,Single-player,2006,"From the creators of Natural Selection comes Zen of Sudoku, a relaxing, easy to play version of Sudoku for your PC.Relax with hand-painted Japanese-styled backgrounds, no timer and lush natural soundscapes.Stimulates your brain to keep it healthy and alert."
4920,Natural Selection 2,"Action,Indie,Strategy",Unknown Worlds Entertainment,"Unknown Worlds Entertainment,KRAFTON, Inc.","Multi-player,PvP,Online PvP,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Includes level editor,Family Sharing",2012,A fast paced multiplayer shooter that pits aliens against humans in a strategic and action-packed struggle for survival!
4932,Natural Selection 2,"Action,Indie,Strategy",Unknown Worlds Entertainment,"Unknown Worlds Entertainment,KRAFTON, Inc.","Multi-player,PvP,Online PvP,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Includes level editor,Family Sharing",2012,A fast paced multiplayer shooter that pits aliens against humans in a strategic and action-packed struggle for survival!
6020,STAR WARS™ Jedi Knight - Jedi Academy™,Action,Raven Software,"LucasArts,Lucasfilm,Disney","Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Partial Controller Support,Steam Cloud,Remote Play Together,Family Sharing",2009,Forge your weapon and follow the path of the Jedi Jedi Knight: Jedi Academy is the latest installment of the highly acclaimed Jedi Knight series. Take on the role of a new student eager to learn the ways of the Force from Jedi Master Luke Skywalker.
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,Action,Raven Software,"LucasArts,Lucasfilm,Disney","Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Partial Controller Support,Steam Cloud,Remote Play Together,Family Sharing",2009,The Legacy of Star Wars Dark Forces™ and Star Wars® Jedi Knight lives on in the intense first-person action of Jedi Outcast.
6120,Shank,"Action,Indie",Klei Entertainment,Klei Entertainment,"Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV,Remote Play Together,Family Sharing",2010,"Shank is the cult-classic revival of the sidescrolling beat-em-up. Play as Shank in an over-the-top grindhouse game, packed to the rim with enemies, bosses, combos, and more by the award-winning team at Klei Entertainment."
6250,Making History: The Calm & the Storm,"Action,Strategy",Muzzy Lane,,"Single-player,Multi-player,Family Sharing",2007,"Making History&reg; delivers the open-ended gameplay of strategy-game classics, but with compelling new economic, military, and diplomatic systems and deep research that lets you play with real historical challenges."
6270,Ducati World Championship,Racing,Artematica Entertainment,,"Single-player,Multi-player,Family Sharing",2007,"Feel the rush of motorcycle racing with Ducati World Championship. Select your machine from over 70 original Ducati models, perfectly simulated replicas of the real thing. With Ducati World Championship you don't have to settle on one model - you can have them all!"
6300,Dreamfall: The Longest Journey,"Adventure,RPG",Funcom,Funcom,"Single-player,Family Sharing",2007,"Dreamfall: The Longest Journey, winner of multiple E3 awards as the best game in its genre, is the continuation of a saga that began in the award-winning The Longest Journey, considered to be one of the finest adventure games ever made."
6310,The Longest Journey,"Action,Adventure,RPG",Funcom,Funcom,"Single-player,Family Sharing",2007,"The Longest Journey is an amazing graphical adventure, where the player controls the protagonist, April Ryan, on her journey between parallel universes."
6370,Bloodline Champions,"Action,Free To Play,Massively Multiplayer",Stunlock Studios,Stunlock Studios,"Single-player,Multi-player,MMO",2011,"Bloodline Champions is a Free-to-Play online PvP Arena game where players engage in short, intense battles of up to ten players divided into two teams. Each player takes control over one of several bloodlines, each with their own unique weapons and abilities. Easy to learn, challenging to master."
6400,Joint Task Force,"Action,Strategy",Most Wanted Entertainment,HD Publishing,"Single-player,Multi-player,Co-op,Shared/Split Screen,Remote Play Together,Family Sharing",2007,"Joint Task Force is the real-time strategy (RTS) game where you command the frontline forces in tomorrow's most hazardous conflicts. Lead twenty dramatic missions in explosive war-zones including the Middle East, Central Asia, and the Balkans."
6420,Nexus - The Jupiter Incident,"Indie,Simulation,Strategy",Mithis Games,HandyGames,"Single-player,Multi-player,Includes level editor,Family Sharing",2007,"Ambitious megacorporations monopolize the conquest of space and the colonization of the solar system. At the very edge of the solar system, the companies make a discovery that will shift the technological advantage and upset the balance. And so a new conflict is born: &quot;The Jupiter Incident.&quot;"
6510,Lost Planet™: Extreme Condition,"Action,Adventure","CAPCOM Co., Ltd.",Capcom,"Single-player,Multi-player,Partial Controller Support,Valve Anti-Cheat enabled,Family Sharing",2007,"Driven to the brink of extinction on ice-covered wastelands, humankind fights to survive. Battle to survive against gargantuan alien Akrid and treacherous Snow Pirates on the vast and frozen landscape of EDN III."
6600,Bullet Candy,"Casual,Indie",R C Knight,,"Single-player,Steam Achievements,Family Sharing",2007,"Bullet Candy is a fast paced, action packed arena shooter. There are a variety of combo systems and many secret techniques that you can employ to get the best score and weapon upgrades possible. Viewed from a top-down perspective, Bullet Candy allows for a true 360° shoot-em-up experience."
6800,Commandos: Behind Enemy Lines,Action,Pyro Studios,Kalypso Media Digital,"Single-player,Multi-player,Co-op,Family Sharing",2007,"Commandos: Behind Enemy Lines is a real-time tactics game set in World War II that puts you in command of a small squad of elite troopers. Send them behind enemy lines on a series of hazardous missions, and bring them back alive."
6810,Commandos: Beyond the Call of Duty,Action,Pyro Studios,Kalypso Media Digital,"Single-player,Multi-player,Co-op,Family Sharing",2007,"You have been selected for active service in the Commandos Corps, and must now mobilize in a series of 8 new dangerous missions."
6830,Commandos 2: Men of Courage,Strategy,Pyro Studios,Kalypso Media Digital,"Single-player,Multi-player,Co-op,Family Sharing",2007,Commandos 2: Men of Courage is a tactical action/strategy game set against the backdrop of World War II. Take control of an elite group of commandos who must venture deep into enemy territory and utilize their combined expertise to complete a series of mission-based objectives.
6840,Commandos 3: Destination Berlin,Action,Pyro Studios,Kalypso Media Digital,"Single-player,Multi-player,Co-op,Family Sharing",2007,Commandos 3: Destination Berlin is a game of real-time tactics that places you in command of an elite unit of Special Forces behind enemy lines in the European theater of World War II.
